,HD_ID,Customer_ID,Name,Gender,Age,State,Profession,Pro_Cust_Flag,Wage_Band,Cred_Score,Senior_Citizen_Flag,Marital_Status_Flag,Account_Activation
68,XGDLNB,C0317505,Edward Livingston,M,38,SC,Others,0,LOW,580-669,0,0,1995-07-13 16:31:00
69,BMMWJA,C5024237,Alexander Hernandez,M,38,NJ,Others,0,MED,800-850,0,1,1995-07-15 19:16:00
70,WWIUEN,C7196989,Joshua Boyd,M,38,WV,Others,0,MED,740-799,0,1,1995-07-19 06:30:00
71,ZQBJCO,C6027303,Debra Weiss,F,38,DC,Others,0,HIGH,800-850,0,1,1995-07-22 03:36:00
72,AAXSEO,C5266541,Helen Pollmann,F,38,TN,Others,0,MED,740-799,0,1,1995-07-25 14:20:00
73,GPHDYG,C7907269,Juan Thompson,M,38,MT,Others,0,LOW,670-739,0,0,1995-08-01 07:01:00
74,DQHWYU,C3777529,Bryan Beales,M,38,MA,Others,0,LOW,670-739,0,1,1995-08-01 18:09:00
75,HLODAS,C2537615,Aaron Tucker,M,38,LA,Others,0,HIGH,670-739,0,1,1995-08-01 19:58:00
76,QXRZPT,C4322643,Santiago Roberts,M,38,AR,Others,0,MED,670-739,0,0,1995-08-04 13:57:00
77,KDLPVU,C5049667,Kenneth Leko,M,38,WA,Others,0,MED,800-850,0,1,1995-08-06 21:50:00
78,QAVJPJ,C3944775,Richard Wilburn,M,38,CT,Others,0,LOW,670-739,0,0,1995-08-07 19:51:00
79,NRNAWR,C7297302,Robert Warren,M,38,KY,Others,0,HIGH,800-850,0,0,1995-08-08 07:57:00
80,JXPHKZ,C5193735,Amanda Evans,F,38,MN,Others,0,MED,740-799,0,0,1995-08-16 04:45:00
81,QWDSSH,C1999403,Vernon Jordan,M,38,VT,Others,0,HIGH,800-850,0,0,1995-08-17 01:09:00
82,OTHXQH,C6719171,Luis Durnin,M,38,NH,Others,0,HIGH,740-799,0,0,1995-08-18 00:37:00
83,IHPKYC,C6231822,William Malone,M,38,OK,Others,0,MED,740-799,0,1,1995-08-18 17:33:00
84,VUDLVP,C3825263,Kenny Runquist,M,38,ID,Others,0,MED,740-799,0,0,1995-08-22 12:01:00
85,ONQAHG,C5167223,Moises Magaldi,M,38,OH,Others,0,LOW,670-739,0,0,1995-08-22 20:34:00
86,STBOEO,C5090373,Brendan Schiffman,M,38,LA,Others,0,MED,670-739,0,0,1995-08-24 12:18:00
87,PKAWHS,C4912610,Lillie Magrath,F,38,PA,Others,0,LOW,670-739,0,0,1995-08-25 11:08:00
88,SQKJGM,C9932219,Bradley Ervin,M,38,NE,Others,0,MED,740-799,0,0,1995-08-29 12:47:00
89,LPCLMK,C5532301,Susan Mcgee,F,38,DE,Others,0,HIGH,670-739,0,0,1995-08-31 21:08:00
90,HJDQNE,C9505864,Bruce Johnson,M,38,NJ,Others,0,LOW,580-669,0,0,1995-09-03 11:36:00
91,SPYMNP,C0218851,Martha Morris,F,38,WA,Others,0,LOW,670-739,0,1,1995-09-05 10:24:00
92,FZHFNU,C5209284,Teresa Vonderahe,F,38,VT,Others,0,HIGH,670-739,0,1,1995-09-13 09:51:00
93,CDWEJM,C1400505,Randy Edwards,M,38,ME,Others,0,HIGH,800-850,0,0,1995-09-21 02:58:00
94,RPCYHF,C9992140,Juan Ammons,M,38,CT,Others,0,LOW,300-579,0,0,1995-09-21 12:57:00
95,OWOVIO,C0087382,Benton Roman,M,38,AZ,Others,0,HIGH,670-739,0,0,1995-09-23 05:07:00
96,ERGHJD,C7214864,Susan Simmons,F,38,WA,Others,0,HIGH,670-739,0,1,1995-09-24 01:29:00
97,TANMYH,C9382287,Sean Clements,M,38,AK,Others,0,HIGH,670-739,0,1,1995-09-25 06:27:00
98,YYUMFW,C4498891,Melissa Chavis,F,38,AL,Others,0,MED,670-739,0,1,1995-09-28 03:26:00
99,ISDWSI,C5608656,Edward Spindler,M,38,CA,Others,0,LOW,300-579,0,1,1995-10-03 07:48:00
100,KTYODK,C0327359,Ralph Sheeley,M,38,WY,Others,0,MED,670-739,0,1,1995-10-14 21:00:00
101,XBOLJX,C3733572,Tammy Lown,F,38,WV,Others,0,LOW,670-739,0,0,1995-10-19 23:41:00
102,IDFLYT,C5275066,Maricela Wood,F,38,CA,Others,0,LOW,670-739,0,1,1995-10-20 00:04:00
103,QSQPIM,C5591723,Christina Doyle,F,38,GA,Others,0,LOW,580-669,0,0,1995-10-20 19:07:00
104,CXOECO,C2239730,Carol Justice,F,38,RI,Others,0,MED,740-799,0,0,1995-10-21 22:30:00
105,FSZQDE,C3309659,Frederick Ritchie,M,38,WY,Others,0,HIGH,740-799,0,1,1995-10-21 23:41:00
106,GRMHRM,C2788966,John Lawson,M,38,LA,Others,0,HIGH,670-739,0,0,1995-10-23 13:22:00
107,QAGBRZ,C5220541,Gregory Jones,M,38,SC,Others,0,HIGH,800-850,0,1,1995-10-24 20:20:00
108,WBHCUA,C0236705,Anthony Womack,M,38,TN,Others,0,HIGH,740-799,0,1,1995-10-26 14:51:00
109,YOTOTE,C2031137,Joseph Johnstone,M,38,WI,Others,0,HIGH,740-799,0,1,1995-10-27 23:42:00
110,LCDPEB,C8342737,Brian Schlaefli,M,38,GA,Others,0,LOW,670-739,0,1,1995-10-29 09:23:00
111,SKXOBS,C8340758,Bill Morgan,M,38,MT,Others,0,LOW,670-739,0,1,1995-11-03 14:14:00
112,TJJHZK,C9965975,Jason Moseley,M,38,AK,Others,0,HIGH,670-739,0,0,1995-11-03 23:42:00
113,FUCVHG,C9976689,George Camp,M,38,MD,Others,0,HIGH,740-799,0,0,1995-11-04 04:26:00
114,FJHEIX,C6666438,Ann Webley,F,38,WY,Others,0,LOW,580-669,0,0,1995-11-04 05:44:00
115,CNVYBP,C8740647,Davis Jackson,M,38,TX,Others,0,HIGH,670-739,0,1,1995-11-08 06:33:00
116,ZHNNJP,C9668055,Pamela Willett,F,38,OR,Others,0,MED,740-799,0,1,1995-11-10 18:57:00
117,LJQOWY,C2187399,Violet French,F,38,AK,Others,0,MED,800-850,0,1,1995-11-14 17:57:00
118,RIYWHX,C9128402,Sonya Cramer,F,38,WV,Others,0,LOW,580-669,0,0,1995-11-14 19:00:00
119,KXFBTU,C5428232,Richard Julius,M,38,VT,Others,0,LOW,580-669,0,1,1995-11-17 01:27:00
120,JMLWAH,C6384507,Stephen Speer,M,38,NM,Others,0,LOW,670-739,0,1,1995-11-17 08:30:00
121,YSFCIG,C8800137,Cathy Green,F,38,SC,Others,0,MED,800-850,0,0,1995-11-17 11:09:00
122,HUAKIT,C5746949,Michael Fernandez,M,38,VT,Others,0,MED,740-799,0,1,1995-11-17 14:37:00
123,YPOHRI,C0250389,Johnnie Schaefer,M,38,GA,Others,0,LOW,580-669,0,1,1995-11-18 00:56:00
124,SVYYDO,C0800287,Edward Alsup,M,38,ID,Others,0,HIGH,800-850,0,1,1995-11-20 06:49:00
125,NWROBO,C6374185,Kendra Palmer,F,38,ME,Others,0,HIGH,800-850,0,1,1995-11-22 05:11:00
126,GABTAC,C0798719,Johanna Russell,F,38,SD,Others,0,LOW,670-739,0,0,1995-11-22 05:51:00
127,QAEPMT,C5576646,Mark Chapa,M,38,DC,Others,0,MED,740-799,0,1,1995-11-27 02:47:00
128,UJHOVH,C1888927,Shirley Twehous,F,38,RI,Others,0,MED,800-850,0,1,1995-11-28 03:50:00
129,GUQKDS,C9754415,James Swann,M,38,NC,Others,0,HIGH,740-799,0,1,1995-11-28 13:05:00
130,AQUFYG,C0153828,David Linden,M,38,NJ,Others,0,MED,740-799,0,0,1995-12-01 23:31:00
131,ZJRZJW,C0968684,Craig Riley,M,38,MD,Others,0,MED,800-850,0,0,1995-12-02 12:41:00
132,WFYQLR,C1412281,Wendy Reddick,F,38,WI,Others,0,HIGH,800-850,0,0,1995-12-07 17:02:00
133,RRAWEP,C1909535,Robert Templeton,M,38,CO,Others,0,HIGH,670-739,0,0,1995-12-07 18:58:00
134,SIPRAZ,C8659947,Robert Hernandez,M,38,MI,Others,0,MED,800-850,0,0,1995-12-07 23:50:00
135,JDMSKR,C8948206,Sabina Trela,F,38,KY,Others,0,LOW,670-739,0,0,1995-12-08 22:02:00
136,MITJPZ,C3402110,Janice Wise,F,38,IA,Others,0,MED,800-850,0,1,1995-12-16 05:14:00
137,MSLZZZ,C9107899,Cynthia Rayborn,F,38,IA,Others,0,LOW,300-579,0,1,1995-12-16 21:54:00
138,MQNUPY,C3931122,Mary Pratt,F,38,LA,Others,0,LOW,580-669,0,1,1995-12-17 18:00:00
139,RIDCZU,C9764661,Mohamed Bridges,M,38,NE,Others,0,HIGH,800-850,0,1,1995-12-18 08:00:00
140,NWOECJ,C1548367,Cynthia Allen,F,38,NJ,Others,0,HIGH,740-799,0,1,1995-12-20 01:35:00
141,CPYHNO,C4482061,Danny Batson,M,38,NM,Others,0,LOW,580-669,0,0,1995-12-20 22:02:00
142,BAKJYV,C1474685,Andrew Friedrich,M,38,MO,Others,0,MED,740-799,0,0,1995-12-29 11:14:00
143,KQFOTR,C8514179,James Sowell,M,37,WI,Others,0,HIGH,800-850,0,0,1996-01-01 08:12:00
144,FDQVCA,C5834523,Eric Kinnison,M,37,NM,Others,0,HIGH,670-739,0,1,1996-01-05 20:18:00
145,VSWBHB,C7651792,Michael Shannon,M,37,IA,Others,0,LOW,580-669,0,0,1996-01-07 08:46:00
146,JOBBYA,C4032287,Joel Fowler,M,37,KS,Others,0,MED,670-739,0,1,1996-01-08 12:13:00
147,BBKLNV,C1879625,Pauline Kerns,F,37,ME,Others,0,HIGH,670-739,0,0,1996-01-11 01:57:00
148,RWUYFD,C9597540,Trent Akins,M,37,IN,Others,0,MED,670-739,0,1,1996-01-13 06:44:00
149,PLKCBC,C6784725,Eli Mccain,M,37,NV,Others,0,HIGH,800-850,0,1,1996-01-15 18:14:00
150,GUXZVO,C9047571,Ronnie Hudson,M,37,SD,Others,0,HIGH,800-850,0,0,1996-01-19 20:44:00
151,YAGIVC,C2525115,Donald Hair,M,37,CO,Others,0,HIGH,740-799,0,1,1996-02-08 17:33:00
152,RAUQJQ,C0963080,Antonio Waits,M,37,ME,Others,0,LOW,580-669,0,1,1996-02-09 08:10:00
153,IAOGWI,C3753567,Todd Michael,M,37,GA,Others,0,LOW,580-669,0,0,1996-02-17 21:53:00
154,PVDUMG,C8606026,Betty Gravois,F,37,AZ,Others,0,LOW,300-579,0,1,1996-02-18 07:33:00
155,NHMXSY,C8540688,Paul Thompson,M,37,TN,Others,0,MED,670-739,0,0,1996-02-18 20:35:00
156,BRGIUF,C6221679,Thomas Caple,M,37,AR,Others,0,MED,670-739,0,1,1996-02-21 22:31:00
157,ODZEDI,C9541808,Susan Jackson,F,37,LA,Others,0,MED,740-799,0,1,1996-02-25 10:32:00
158,URWAZD,C6951417,Suzanne Bonawitz,F,37,MN,Others,0,MED,740-799,0,1,1996-03-02 21:38:00
159,SDMMLL,C2690245,Donna Smykowski,F,37,ID,Others,0,MED,670-739,0,1,1996-03-04 01:34:00
160,GSLVIX,C3851240,Brittany Soper,F,37,NV,Others,0,MED,800-850,0,1,1996-03-05 17:17:00
161,IULFKL,C3986087,Kenneth Rueda,M,37,NM,Others,0,MED,670-739,0,0,1996-03-05 17:21:00
162,DDHTIR,C5945408,Clyde Hall,M,37,NC,Others,0,MED,740-799,0,1,1996-03-07 13:41:00
163,WHFTKS,C8811766,Eliseo Parihar,M,37,OK,Others,0,MED,800-850,0,0,1996-03-10 11:45:00
164,MZRNJD,C3651936,Gary Dryden,M,37,RI,Others,0,HIGH,800-850,0,1,1996-03-16 18:35:00
165,VYSIBI,C6332860,Glenn Brandon,M,37,ID,Others,0,MED,800-850,0,0,1996-03-17 02:17:00
166,XSAADY,C7535090,Glenn Shank,M,37,AK,Others,0,LOW,300-579,0,1,1996-03-17 16:21:00
167,KCRTYG,C2613038,Robert Hubbard,M,37,OH,Others,0,HIGH,800-850,0,1,1996-03-21 19:41:00
168,PQHCNQ,C5810691,Bertha Owens,F,37,CT,Others,0,LOW,300-579,0,0,1996-03-30 07:49:00
169,WSTVNI,C3132951,Jennifer Primavera,F,37,CT,Others,0,LOW,580-669,0,0,1996-04-01 00:33:00
170,EFIURN,C2100117,Christopher Fredericks,M,37,ND,Others,0,LOW,300-579,0,0,1996-04-11 23:34:00
171,QHRKNP,C6202669,Jessica Praino,F,37,SD,Others,0,MED,740-799,0,0,1996-04-15 17:07:00
172,UYZDBX,C1762288,Johnny Cummins,M,37,DE,Others,0,HIGH,670-739,0,1,1996-04-18 05:20:00
173,WGQAVQ,C9773151,Maggie Welby,F,37,HI,Others,0,LOW,670-739,0,0,1996-04-26 16:46:00
174,IJQUCA,C6290990,Alfred Clevenger,M,37,MA,Others,0,MED,670-739,0,0,1996-04-27 19:51:00
175,ZYISUD,C3928680,Carl Woodall,M,37,UT,Others,0,LOW,300-579,0,0,1996-04-28 11:42:00
176,VTRDWF,C5141648,Vickie Daughtery,F,37,NV,Others,0,MED,740-799,0,0,1996-04-30 03:12:00
177,NQKDMU,C0402513,Timothy Jones,M,37,CO,Others,0,LOW,300-579,0,1,1996-05-02 00:15:00
178,ACYYFF,C1288106,Jose Mccallum,M,37,MD,Others,0,MED,740-799,0,1,1996-05-06 04:11:00
179,BEUUAF,C6462280,William Kubiak,M,37,NV,Others,0,LOW,300-579,0,1,1996-05-08 03:38:00
180,MJTLVZ,C5089672,Regina Lesueur,F,37,MI,Others,0,HIGH,670-739,0,1,1996-05-09 06:57:00
181,JWTMFA,C2432821,Ernestine Adamitis,F,37,MN,Others,0,MED,740-799,0,1,1996-05-12 07:03:00
182,OZAPYU,C9202271,Jason Martinez,M,37,PA,Others,0,MED,740-799,0,0,1996-05-20 15:59:00
183,DPCWME,C8972016,Brian Jones,M,37,ME,Others,0,HIGH,670-739,0,1,1996-05-20 22:31:00
184,PXXHQZ,C4731443,Margaret Miller,F,37,ME,Others,0,MED,670-739,0,1,1996-05-21 04:47:00
185,LBWDZW,C2637133,Bonnie Voelkel,F,37,ID,Others,0,MED,670-739,0,1,1996-05-22 09:58:00
186,QLLMDO,C8391676,Marie Nault,F,37,PA,Others,0,LOW,580-669,0,0,1996-05-26 20:35:00
187,SZNGZB,C2695769,Gary Long,M,37,MI,Others,0,HIGH,800-850,0,1,1996-05-28 05:26:00
188,YEMALG,C4556406,Antone Dennis,M,37,MA,Others,0,HIGH,670-739,0,0,1996-06-04 11:16:00
189,XUHUII,C6969369,Harry Pedersen,M,37,MN,Others,0,HIGH,670-739,0,1,1996-06-04 13:07:00
190,PXSJBQ,C7735290,George Purvis,M,37,NY,Others,0,HIGH,800-850,0,0,1996-06-05 04:53:00
191,HGWBGY,C4125180,Nancy Brown,F,37,MA,Others,0,HIGH,740-799,0,1,1996-06-08 11:21:00
192,CYQXLD,C9956805,Marvin Andersen,M,37,FL,Others,0,HIGH,670-739,0,1,1996-06-09 07:13:00
193,OIOOKU,C1652200,Norma Deck,F,37,VT,Others,0,LOW,580-669,0,1,1996-06-09 22:00:00
194,VFQCGZ,C7313957,Stephen Reyes,M,37,KS,Others,0,MED,670-739,0,1,1996-06-10 02:35:00
195,WYNFXI,C0025053,Francis Charles,M,37,NV,Others,0,LOW,300-579,0,0,1996-06-12 09:59:00
196,ZQLLLZ,C3037998,Michael Hubbard,M,37,WV,Others,0,HIGH,670-739,0,1,1996-06-15 07:39:00
197,EJFVBU,C2029450,Jeff Gonzalez,M,37,ND,Others,0,MED,800-850,0,0,1996-06-17 17:09:00
198,SONABC,C8964944,Louie Roberts,M,37,MI,Others,0,HIGH,670-739,0,0,1996-06-19 04:17:00
199,JXLMJI,C2670935,Alden Buczek,M,37,OH,Others,0,MED,670-739,0,0,1996-07-02 09:00:00
200,LJPRUR,C9158960,Joseph Loftis,M,37,MS,Others,0,MED,800-850,0,1,1996-07-06 13:45:00
201,WIAXSH,C5864448,James Bodkin,M,37,IA,Others,0,HIGH,800-850,0,0,1996-07-08 13:29:00
202,YKKBKT,C9216028,Thomas Wasmund,M,37,HI,Others,0,HIGH,800-850,0,0,1996-07-11 13:00:00
203,ALVCNJ,C6894830,Veronica Goddard,F,37,CT,Others,0,HIGH,740-799,0,1,1996-07-16 14:54:00
204,MQPPQD,C2724082,Charles Michaud,M,37,NC,Others,0,MED,670-739,0,1,1996-07-23 22:00:00
205,HSZZJA,C2365768,Willie Wires,F,37,NE,Others,0,HIGH,670-739,0,1,1996-07-24 02:01:00
206,TYHGCT,C7877825,Doris Miles,F,37,NY,Others,0,LOW,580-669,0,0,1996-07-30 00:57:00
207,YCIHHG,C5515266,Darren Lingafelter,M,37,NV,Others,0,MED,670-739,0,0,1996-08-01 19:02:00
208,XHMCQZ,C8786322,Robert Smith,M,37,MO,Others,0,HIGH,740-799,0,1,1996-08-02 13:50:00
209,FQGQWX,C8263534,Carrie Parks,F,37,MD,Others,0,HIGH,800-850,0,0,1996-08-09 22:47:00
210,OFAIOZ,C9365573,Ryan Grandberry,M,37,NM,Others,0,MED,670-739,0,0,1996-08-10 03:15:00
211,XDUHWJ,C1591102,Marjorie Davis,F,37,MI,Others,0,MED,670-739,0,1,1996-08-12 14:21:00
212,TPCGWM,C0051521,Juan Cummins,M,37,LA,Others,0,MED,800-850,0,1,1996-08-16 08:23:00
213,EECFVJ,C0115605,Jacob Farley,M,37,AK,Others,0,LOW,580-669,0,0,1996-08-19 17:13:00
214,ULUOLV,C7770667,Candace Jackman,F,37,NH,Others,0,HIGH,670-739,0,0,1996-08-21 03:38:00
215,NRMAJA,C9331548,Robert Medina,M,37,WI,Others,0,LOW,580-669,0,0,1996-08-25 21:42:00
216,QXHRZG,C0546872,Ernie Buchanan,M,37,MT,Others,0,LOW,580-669,0,0,1996-08-27 08:01:00
217,VKETOM,C7707902,Bobby Gray,M,37,MT,Others,0,MED,740-799,0,1,1996-08-29 11:30:00
218,HLFGYJ,C0864537,Josiah Rudd,M,37,CT,Others,0,MED,800-850,0,1,1996-08-29 18:45:00
219,FVOFIY,C8852357,Rebecca Corcoran,F,37,FL,Others,0,LOW,300-579,0,1,1996-09-01 17:51:00
220,TMGATJ,C3097346,Deloris Reed,F,37,AR,Others,0,MED,800-850,0,0,1996-09-05 09:42:00
221,GHFIPW,C7491659,Rodrigo Grace,M,37,VT,Others,0,MED,740-799,0,1,1996-09-06 10:58:00
222,XKXWDC,C4871708,Jennifer Campbell,F,37,HI,Others,0,HIGH,740-799,0,1,1996-09-06 18:37:00
223,NXXLUL,C2280070,George Moore,M,37,VA,Others,0,HIGH,670-739,0,1,1996-09-08 21:44:00
224,XWHCEJ,C9908711,Phillip Gates,M,37,CO,Others,0,HIGH,740-799,0,0,1996-09-19 12:40:00
225,JNQVFV,C6663517,Curtis Manley,M,37,MA,Others,0,HIGH,670-739,0,1,1996-09-25 11:50:00
226,GFYDNX,C2805129,Kenneth Wade,M,37,GA,Others,0,MED,670-739,0,1,1996-09-25 12:55:00
227,TNOFVH,C2964135,Joseph Blessing,M,37,DE,Others,0,MED,740-799,0,1,1996-09-26 09:22:00
228,COQYJJ,C9376382,James Beltran,M,37,NH,Others,0,LOW,580-669,0,0,1996-09-27 03:46:00
229,KKVXTK,C0454537,Steven Perry,M,37,OK,Others,0,HIGH,800-850,0,1,1996-09-27 04:41:00
230,FVFUUI,C1549216,Johnny Hughes,M,37,MD,Others,0,HIGH,740-799,0,1,1996-10-01 16:31:00
231,CNRQVM,C3316072,Jon Vansickle,M,37,NY,Others,0,LOW,580-669,0,0,1996-10-02 11:50:00
